ID,Text,BG Color,Sticky type,Border line,Position X,Position Y,Area,Link to,objetivo de longo prazo,Pontos de atencao,Voting Session 3,Voting Session 4,CNPs - GEOP,Categoria CNPs - GEOP
0-1586807866455,"É possível simplificar aprovação?","#FFC2E8",3x5,NO,13248.72,4474.32,,,0,0,0,0,0,0
0-1586540646081,"Não fazer uma modelagem no tempo hábil","#FFC2E8",3x5,NO,13316.58,4722.14,,,0,0,0,0,0,0
0-1586540636899,"É possível que criemos novos problemas?","#FFC2E8",3x5,NO,13589.70,4511.75,,,0,1,0,0,0,0
0-1584478684159,"Teremos muitos problemas com a integração dos sistemas?","#FFC2E8",3x5,NO,13589.70,4322.45,,,0,3,0,0,0,0
1-1586540650027,"É possível que quebremos a contabilização?","#FFC2E8",3x5,NO,13633.10,4742.14,,,0,1,0,0,0,0
1-1586540647760,"É possível que as propostas de integração com as distribuidoras não seja aceita pela distribuidora?","#FFC2E8",3x5,NO,13886.22,4494.33,,,0,1,1,0,0,0
0-1586540650700,"Agente perder dinheiro porque não pode operar no mercado por conta de problemas na modelagem","#FFC2E8",3x5,NO,13937.79,4835.50,,,0,0,0,0,0,0
1-1586540646959,"É possivel que quebre o SIGA e o SCDE?","#FFC2E8",3x5,NO,13954.41,4303.91,,,0,1,0,0,0,0
0-1616091297993,"Integração com as Distribuidoras","#FFC2E8",3x5,NO,14159.34,4570.26,,,0,0,0,0,0,0
0-1616091201348,"Tem possibilidade do novo sistema dar problemas para o SCDE e o Siga?","#FFC2E8",3x3,NO,14250.23,4332.68,,,0,2,1,0,0,0
0-1586540646959,"Problemas com legados","#FFC2E8",3x5,NO,14242.88,4759.56,,,0,0,0,0,0,0
0-1586540647760,"É possível os status do siga, scde e habilitação técnica ficarem descasados?","#FFC2E8",3x5,NO,14496.01,4541.64,,,0,0,1,0,0,0
0-1616091568170,"É possível obter informações da UC da distribuidora?","#FFC2E8",3x5,NO,14569.42,4303.91,,,0,2,0,0,0,0
0-1616091245321,"Duplicar funções do Siga e SCDE","#FFC2E8",3x5,NO,14622.57,4791.05,,,0,2,0,0,0,0
1-1586540650700,"É possível que o prazo não seja o suficiente para implementarmos as melhorias?","#FFC2E8",3x5,NO,14865.92,4447.31,,,0,0,0,0,0,0
1-1586540646081,"É possível manter toda regra e consistência de negócio no Siga e SCDE?","#FFC2E8",3x5,NO,14822.55,4619.18,,,0,0,1,0,0,0
1-1586540643185,"É possível... 
que as distribuidoras não forneçam as informações necessárias?","#FFC2E8",3x5,NO,14865.92,4255.43,,,0,1,1,0,0,0
0-1616091416542,"É possível que estejamos priorizando uma classe de agente e prejudicando outra?","#FFC2E8",3x5,NO,15146.48,4275.43,,,0,0,1,0,0,0
0-1616091493914,"É possível obter as informações do cliente através da receita federal?","#FFC2E8",3x5,NO,15630.29,4303.01,,,0,1,0,0,0,0
0-1616091448654,"É possível o cliente encaminhar todas as informações necessárias para o habilitação técnica em uma única vez?","#FFC2E8",3x5,NO,15419.60,4791.05,,,0,1,1,0,0,0
0-1586540651373,"O caminho não express pode gerar uma frustração maior do que já temos hoje?","#FFC2E8",3x5,NO,15592.10,4503.24,,,0,0,0,0,0,0
0-1616091456307,"problemas com produtividades do time","#FFC2E8",3x5,NO,16404.90,4764.76,,,0,0,0,0,0,0
0-1586540650027,"É possível...
Que outros projetos atrapalhem nossas atividades?","#FFC2E8",3x5,NO,16088.53,4592.88,,,0,0,0,0,0,0
0-1586540643185,"É possível...
não agirmos como uma única equipe?","#FFC2E8",3x5,NO,16151.77,4378.94,,,0,1,0,0,0,0
0-1616091294789,"Querer fazer demais e perder o prazo de entrega","#FFC2E8",3x5,NO,16457.60,4550.82,,,0,0,0,0,0,0
1-1586540651974,"Está previsto que existem diferentes tipos de agentes e conexões?","#FFC2E8",3x5,NO,16675.97,4303.01,,,0,0,0,0,0,0
1-1586540651373,"É possível não atendermos os prazos de entrega?","#FFC2E8",3x5,NO,16707.60,4688.82,,,0,0,1,0,0,0